SYMB_COMPANY_NAME,SM_KEY_SYMBOL,SM_NEW_SYMBOL,SM_APPLICABLE_FROM
PGIM India Fixed Duration Fund - Series AU - RPQDPO,DPRMAUQDD,PGIMAUQDD,22-Aug-19
PGIM India Fixed Duration Fund - Series AU - RPSDPO,DPRMAUDPD,PGIMAUDPD,22-Aug-19
PGIM India Fixed Duration Fund - Series AY - DPG,DPRMAYD1G,PGIMAYD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series AY - RPG,DPRMAYGPG,PGIMAYGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series AZ - DPG,DPRMAZD1G,PGIMAZD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series AZ - RPG,DPRMAZGPG,PGIMAZGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series AZ - RPSDPO,DPRMAZDPD,PGIMAZDPD,22-Aug-19
PGIM India Fixed Duration Fund - Series BA - DPG,DPRMBAD1G,PGIMBAD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series BA - RPG,DPRMBAGPG,PGIMBAGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series BA - RPQDPO,DPRMBAQDD,PGIMBAQDD,22-Aug-19
PGIM India Fixed Duration Fund - Series BA - RPSDPO,DPRMBADPD,PGIMBADPD,22-Aug-19
PGIM India Fixed Duration Fund - Series BB - DPG,DPRMBBD1G,PGIMBBD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series BB - RPG,DPRMBBGPG,PGIMBBGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series BB - RPQDPO,DPRMBBQDD,PGIMBBQDD,22-Aug-19
PGIM India Fixed Duration Fund - Series BB - RPSDPO,DPRMBBDPD,PGIMBBDPD,22-Aug-19
PGIM India Fixed Duration Fund - Series BC - DPG,DPRMBCD1G,PGIMBCD1G,22-Aug-19
PGIM India Fixed Duration Fund - Series BC - DPSDT,DPRMBCD2S,PGIMBCD2S,22-Aug-19
PGIM India Fixed Duration Fund - Series BC - RPG,DPRMBCGPG,PGIMBCGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series BC - RPQDPO,DPRMBCQDD,PGIMBCQDD,22-Aug-19
PGIM India Fixed Duration Fund - Series BC - RPSDPO,DPRMBCDPD,PGIMBCDPD,22-Aug-19
PGIM India Fixed Duration Fund - Series BE - DPG,DPRMBED1G,PGIMBED1G,22-Aug-19
PGIM India Fixed Duration Fund - Series BE - RPG,DPRMBEGPG,PGIMBEGPG,22-Aug-19
PGIM India Fixed Duration Fund - Series BE - RPQDPO,DPRMBEQDD,PGIMBEQDD,22-Aug-19
PGIM India Fixed Duration Fund - Series BE - RPSDPO,DPRMBEDPD,PGIMBEDPD,22-Aug-19
PGIM India Large Cap Fund Series 2 - DPDPO,DWSLCFS2DD,PGIMC6D2D,22-Aug-19
PGIM India Large Cap Fund Series 2 - DPG,DWSLCFS2DG,PGIMC6D1G,22-Aug-19
PGIM India Large Cap Fund Series 2 - RPDPO,DWSLCFS2RD,PGIMC6DPD,22-Aug-19
PGIM India Large Cap Fund Series 2 - RPG,DWSLCFS2RG,PGIMC6GPG,22-Aug-19
FORCE MOTORS LTD,BAJAJTEMPO,FORCEMOT,19-Aug-19
Kennametal India Limited,WIDIA,KENNAMET,19-Aug-19
SPICEJET LTD,MODILUFT,SPICEJET,19-Aug-19
Setubandhan Infrastructure Limited,PRAKASHCON,SETUINFRA,30-Jul-19
GFL Limited,GUJFLUORO,GFLLIMITED,25-Jul-19
ICICI Prudential Bank ETF Nifty Bank Index,IPRU5008,ICICIBANKN,19-Jul-19
Procter & Gamble Health Limited,MERCK,PGHL,11-Jun-19
Baba Agro Food Limited,SKML,BABAFOOD,27-May-19
Keynote Financial Services Limited,KEYCORPSER,KEYFINSERV,03-May-19
Expleo Solutions Limited,SQSBFSI,EXPLEOSOL,02-May-19
Cholamandalam Financial Holdings Limited,TIFIN,CHOLAHLDNG,09-Apr-19
Renaissance Global Limited,RJL,RGL,08-Apr-19
BIRLASOFT LIMITED,KPIT,BSOFT,26-Feb-19
IDFC First Bank Limited,IDFCBANK,IDFCFIRSTB,16-Jan-19
Bajaj Consumer Care Limited,BAJAJCORP,BAJAJCON,15-Jan-19
Dhunseri Ventures Limited,DPL,DVL,02-Jan-19
Tata Steel Bsl Limited,BHUSANSTL,TATASTLBSL,10-Dec-18
Emami Realty Limited,EMAMIINFRA,EMAMIREAL,15-Nov-18
Ksb Limited,KSBPUMPS,KSB,23-Oct-18
Inspirisys Solutions Limited,AFL,INSPIRISYS,12-Oct-18
Brightcom Group Limited,LYCOS,BCG,08-Oct-18
Garware Technical Fibres Limited,GARWALLROP,GARFIBRES,13-Aug-18
Olectra Greentech Limited,GOLDINFRA,OLECTRA,26-Jul-18
The Investment Trust Of India Limited,FORTUNEFIN,THEINVEST,25-Jul-18
Proseed India Limited,GREENFIRE,PROSEED,18-Jul-18
Yaari Digital Integrated Services Limited,SORILHOLD,IBULISL,08-Jun-18
Pitti Engineering Limited,PITTILAM,PITTIENG,06-Jun-18
3P Land Holdings Limited,PDUMJEIND,3PLAND,04-May-18
Prism Johnson Limited,PRISMCEM,PRSMJOHNSN,04-May-18
Jtekt India Limited,SONASTEER,JTEKTINDIA,23-Apr-18
Adroit Infotech Limited,SPHEREGSL,ADROITINFO,19-Apr-18
ICICI Prudential Mutual Fund - BHARAT 22 ETF,BHARATIWIN,ICICIB22,19-Apr-18
Sri Havisha Hospitality and Infrastructure Limited,SHAKTIGAS,HAVISHA,12-Apr-18
ICICI Prudential Gold ETF,GOLDIWIN,ICICIGOLD,10-Apr-18
ICICI Prudential Midcap Select ETF,MIDCAPIWIN,ICICIMCAP,10-Apr-18
ICICI Prudential NV20 ETF,NV20IWIN,ICICINV20,10-Apr-18
ICICI Prudential Nifty 100 ETF,NIF100IWIN,ICICINF100,10-Apr-18
ICICI Prudential Nifty ETF,NIFTYIWIN,ICICINIFTY,10-Apr-18
ICICI Prudential Nifty Low Vol 30 ETF,LOWVOLIWIN,ICICILOVOL,10-Apr-18
ICICI Prudential Sensex ETF,SENSEXIWIN,ICICISENSX,10-Apr-18
Paisalo Digital Limited,SEINV,PAISALO,24-Jan-18
Amj Land Holdings Limited,PDUMJEPULP,AMJLAND,19-Jan-18
Tirupati Forge Limited,FORGE,TIRUPATIFL,15-Jan-18
Mohota Industries Limited,MOHOTAMILL,MOHOTAIND,26-Dec-17
Bkm Industries Limited,MANAKINDST,BKMINDST,23-Nov-17
NACL Industries Limited,NAGAAGRI,NACLIND,29-Sep-17
BALAXI PHARMACEUTICALS LIMITED,ANANDAMRUB,BALAXI,27-Sep-17
Reliance Naval and Engineering Limited,RDEL,RNAVAL,18-Sep-17
Aventus Buildcon Limited,RATNAINFRA,AVENTUS,03-Aug-17
Mohota Industries Limited,RAIREKMOH,MOHOTAMILL,01-Aug-17
Schaeffler India Limited,FAGBEARING,SCHAEFFLER,01-Aug-17
LEEL Electricals Limited,LLOYDELENG,LEEL,19-Jun-17
Fedders Electric and Engineering Limited,FEDDERLOYD,FEDDERELEC,13-Jun-17
Hitech Corporation Limited,HITECHPLAS,HITECHCORP,23-May-17
Yaari Digital Integrated Services Limited,IBWSL,SORILHOLD,18-Apr-17
CG Power and Industrial Solutions Limited,CROMPGREAV,CGPOWER,08-Mar-17
Geojit Financial Services Limited,GEOJITBNPP,GEOJITFSL,02-Mar-17
Vidhi Specialty Food Ingredients Limited,VIDHIDYE,VIDHIING,01-Mar-17
Neueon Towers Limited,SUJANATWR,NTL,17-Feb-17
63 moons technologies limited,FINANTECH,63MOONS,19-Jan-17
Privi Speciality Chemicals Limited,ADI,FAIRCHEM,19-Jan-17
SORIL Infra Resources Limited,STOREONE,SORILINFRA,10-Jan-17
VIP Clothing Limited,MAXWELL,VIPCLOTHNG,21-Dec-16
Arvind SmartSpaces Limited,ARVINFRA,ARVSMART,05-Dec-16
Edelweiss Fixed Maturity Plan - Series 14 - DP-GO,JD14G,ED14G,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 14 - Direct Plan - Dividend,JD14D,ED14D,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 14 - Regular Plan - Dividend,JP14D,E14D,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 14 - Regular Plan - Growth,JP14G,E14G,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 20 - Direct Plan - Dividend,JD20D,ED20D,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 20 - Direct Plan - Growth,JD20G,ED20G,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 20 - Regular Plan - Dividend,JP20D,E20D,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 20 - Regular Plan - Growth,JP20G,E20G,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 35 - Direct Plan - Growth,JD35G,ED35G,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 35 - Regular Plan - Dividend,JP35D,E35D,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 35 - Regular Plan - Growth,JP35G,E35G,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 37 - Direct Plan - Growth,JD37G,ED37G,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 37 - Regular Plan - Dividend,JP37D,E37D,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 37 - Regular Plan - Growth,JP37G,E37G,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 38 - Direct Plan - Growth,JD38G,ED38G,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 38 - Regular Plan - Dividend,JP38D,E38D,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 38 - Regular Plan - Growth,JP38G,E38G,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 40 - Direct Plan - Growth,JD40G,ED40G,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 40 - Regular Plan - Dividend,JP40D,E40D,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 40 - Regular Plan - Growth,JP40G,E40G,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 502 - Dividend Option,J502D,E502D,28-Nov-16
Edelweiss Fixed Maturity Plan - Series 502 - Growth Option,J502G,E502G,28-Nov-16
Edelweiss Income Fund - Series 501 - Dividend,J501D,E501D,28-Nov-16
Edelweiss Income Fund - Series 501 - Growth,J501G,E501G,28-Nov-16
Sastasundar Ventures Limited,MICROSEC,SASTASUNDR,22-Nov-16
Future Consumer Limited,FCEL,FCONSUMER,25-Oct-16
Birla Cable Limited,BIRLAERIC,BIRLACABLE,26-Sep-16
Sovereign Gold Bonds 2.75% NOV 2023 Tr-I,GBNOV23,SBNOV23,15-Sep-16
Sovereign Gold Bonds 2.75% NOV 2023 Tr-I,SBNOV23,SGBNOV23,15-Sep-16
GE Power India Limited,AIL,GEPIL,14-Sep-16
GE T&D India Limited,ALSTOMT&D,GET&D,14-Sep-16
Johnson Controls - Hitachi Air Conditioning India Limited,HITACHIHOM,JCHAC,12-Sep-16
Balkrishna Paper Mills Limited,NIRVIKARA,BALKRISHNA,06-Sep-16
Siti Networks Limited,SITICABLE,SITINET,17-Aug-16
Himadri Speciality Chemical Limited,HCIL,HSCL,16-Aug-16
NLC India Limited,NEYVELILIG,NLCINDIA,04-Aug-16
ICICI Prudential Gold ETF,IGOLD,GOLDIWIN,25-Jul-16
ICICI Prudential Midcap Select ETF,IMIDCAP,MIDCAPIWIN,25-Jul-16
ICICI Prudential NV20 ETF,INV20,NV20IWIN,25-Jul-16
ICICI Prudential Nifty 100 ETF,ICNX100,NIF100IWIN,25-Jul-16
ICICI Prudential Nifty ETF,INIFTY,NIFTYIWIN,25-Jul-16
ICICI Prudential Sensex ETF,ISENSEX,SENSEXIWIN,25-Jul-16
NIPPON INDIA ETF LONG TERM GILT,RRSLGETF,NETFLTGILT,08-Jul-16
Bharat Financial Inclusion Limited,SKSMICRO,BHARATFIN,01-Jul-16
Invesco India Gold Exchange Traded Fund,RELIGAREGO,IVZINGOLD,23-Jun-16
Invesco India Nifty Exchange Traded Fund,RELGRNIFTY,IVZINNIFTY,23-Jun-16
Invesco MF – Invesco India AIF - Sr 1 - Pl B - DS-P-GO,RIMFAI1BDG,IVZINA1BDG,23-Jun-16
Invesco MF – Invesco India AIF - Sr 1 - Pl B - RS-P-GO,RIMFAI1BRG,IVZINA1BRG,23-Jun-16
Future Enterprises Limited,FRL,FEL,13-May-16
Future Enterprises Limited,FRLDVR,FELDVR,13-May-16
Arrow Greentech Limited,ARROWCOAT,ARROWGREEN,11-May-16
Ducon Infratechnologies Limited,DYNATECH,DUCON,11-May-16
INEOS Styrolution India Limited,STYABS,INEOSSTYRO,04-Apr-16
Kamdhenu Limited,KIL,KAMDHENU,18-Mar-16
Reliance Naval and Engineering Limited,PIPAVAVDOC,RDEL,18-Mar-16
Bharati Defence and Infrastructure Limited,BHARTISHIP,BHARATIDIL,26-Feb-16
Max Financial Services Limited,MAX,MFSL,26-Feb-16
AYM Syntex Limited,WELSYNTEX,AYMSYNTEX,03-Feb-16
Aditya Birla Fashion and Retail Limited,PFRL,ABFRL,29-Jan-16
LIC MF - LIC MF EXCHANGE TRADED FUND - NIFTY 50,LICNFENGP,LICNETFN50,30-Dec-15
LIC MF - LIC MF G-sec LT ETF - GO,LICNMFET,LICNETFGSC,30-Dec-15
LIC Mutual Fund - LIC MF EXCHANGE TRADED FUND - SENSEX,LICNFESGP,LICNETFSEN,30-Dec-15
Kotak Mahindra MF - Kotak NV 20 ETF - DPO,KTKNV20ETF,KOTAKNV20,21-Dec-15
Orchid Pharma Limited,ORCHIDCHEM,ORCHIDPHAR,21-Dec-15
Vikas EcoTech Limited,VIKASGLOB,VIKASECO,21-Dec-15
SBI-ETF Gold,SBIGETS,SETFGOLD,24-Nov-15
SBI-ETF Nifty 50,SETFNIFTY,SETFNIF50,24-Nov-15
SBI-ETF Nifty Bank,SETFBANK,SETFNIFBK,24-Nov-15
SBI-ETF Nifty Next 50,SETFNIFJR,SETFNN50,24-Nov-15
GOCL Corporation Limited,GULFCORP,GOCLCORP,10-Nov-15
SVOGL Oil Gas And Energy Limited,SHIV-VANI,SVOGL,23-Oct-15
Adroit Infotech Limited,COLORCHIPS,SPHEREGSL,13-Oct-15
PIL ITALICA LIFESTYLE LIMITED,PILIND,PILITA,03-Sep-15
Welspun Enterprises Limited,WELPROJ,WELENT,24-Jun-15
NIPPON INDIA ETF NV20,RELNV20,NETFNV20,22-Jun-15
Castex Technologies Limited,AMTEKINDIA,CASTEXTECH,11-Jun-15
Metalyst Forgings Limited,AHMEDFORGE,METALFORGE,01-Jun-15
IZMO Limited,LOGIXMICRO,IZMO,15-May-15
Vedanta Limited,SSLT,VEDL,07-May-15
GP Petroleums Limited,SAHPETRO,GULFPETRO,06-May-15
Excel Realty N Infra Limited,EXCELINFO,EXCEL,05-May-15
Dhani Services Limited,IBSEC,IBVENTURES,01-Apr-15
E-Land Apparel Limited,MUDRA,ELAND,13-Mar-15
A2Z Infra Engineering Limited,A2ZMES,A2ZINFRA,31-Dec-14
Srikalahasthi Pipes Limited,LANCOIN,SRIPIPES,17-Dec-14
RattanIndia Enterprises Limited,IBIPL,RTNINFRA,20-Nov-14
RattanIndia Power Limited,IBPOW,RTNPOWER,20-Nov-14
Surana Solar Limited,SURANAVEL,SURANASOL,19-Nov-14
Dhunseri Ventures Limited,DPTL,DPL,12-Nov-14
Techindia Nirman Limited,NATHSEED,TECHIN,31-Oct-14
Crest Ventures Limited,SHARRESLTD,CREST,16-Oct-14
AXISCADES Technologies Limited,AXIS-IT&T,AXISCADES,08-Oct-14
Prozone Intu Properties Limited,PROZONECSC,PROZONINTU,07-Oct-14
Expleo Solutions Limited,THINKSOFT,SQSBFSI,30-Sep-14
DiGiSPICE Technologies Limited,SMOBILITY,SPICEMOBI,19-Aug-14
ICICI Prudential Sensex ETF,SPICE,ISENSEX,18-Aug-14
Noesis Industries Limited,MVLIND,NOESISIND,04-Jun-14
Cyient Limited,INFOTECENT,CYIENT,22-May-14
Dalmia Refractories Limited,SHRINATRAJ,DALMIAREF,22-May-14
ICICI Prudential Gold ETF,IPGETF,IGOLD,05-May-14
ICICI Prudential Nifty 100 ETF,ICCNX100,ICNX100,05-May-14
ICICI Prudential Nifty ETF,NIFETF,INIFTY,05-May-14
SKIL Infrastructure Limited,HORIZONINF,SKIL,24-Mar-14
DCM Shriram Limited,DCMSRMCONS,DCMSHRIRAM,13-Mar-14
IIFL Finance Limited,INDIAINFO,IIFL,13-Mar-14
Shri Aster Silicates Limited,ASTERSILI,SHRIASTER,03-Feb-14
ANDHRA PAPER LIMITED,APPAPER,IPAPPM,21-Jan-14
Palred Technologies Limited,FOURSOFT,PALRED,16-Jan-14
DCB Bank Limited,DCB,DCBBANK,15-Jan-14
Mahindra CIE Automotive Limited,MAHINDFORG,MAHINDCIE,17-Dec-13
ICICI Prudential MF - ICICI Prudential IF S1 - DQDP,IPRU8112,IPRU8122,16-Dec-13
Vakrangee Limited,VAKRANSOFT,VAKRANGEE,27-Nov-13
Nandan Denim Limited,NANDANEXIM,NDL,21-Nov-13
Phoenix Lamps Limited,HALONIX,PHOENIXLL,30-Oct-13
Piramal Phytocare Limited,PIRLIFE,PIRPHYTO,23-Oct-13
UPL Limited,UNIPHOS,UPL,23-Oct-13
Future Consumer Limited,FVIL,FCEL,17-Oct-13
Vedanta Limited,SESAGOA,SSLT,04-Oct-13
The Ramco Cements Limited,MADRASCEM,RAMCOCEM,30-Sep-13
Ujaas Energy Limited,MBSWITCH,UJAAS,23-Sep-13
Navneet Education Limited,NAVNETPUBL,NAVNETEDUL,19-Sep-13
Pressman Advertising Limited,NUCENT,PRESSMN,11-Sep-13
Dr. Datson's Labs Limited,AANJANEYA,DRDATSONS,02-Sep-13
Cineline India Limited,CINEPRO,CINELINE,23-Aug-13
Rain Industries Limited,RAINCOM,RAIN,23-Aug-13
Capri Global Capital Limited,MMFSL,CGCL,05-Aug-13
JSW Holdings Limited,JINDALSWHL,JSWHL,30-Jul-13
Zee Media Corporation Limited,ZEENEWS,ZEEMEDIA,30-Jul-13
TGB Banquets And Hotels Limited,BHAGWATIHO,TGBHOTELS,31-May-13
Uttam Value Steels Limited,LLOYDSTEEL,UTTAMVALUE,29-Apr-13
Future Enterprises Limited,PRETAILDVR,FRLDVR,11-Apr-13
Future Enterprises Limited,PANTALOONR,FRL,11-Apr-13
Linde India Limited,BOC,LINDEINDIA,10-Apr-13
Shirpur Gold Refinery Limited,AGEEGOLD,SHIRPUR-G,17-Jan-13
Fidelity Mutual Fund - Fidelity Fixed Maturity Plan -SVI- Plan F - DP,FIFMPS6FD,LTFMPS6FD,14-Jan-13
L&T Fixed Maturity Plan Series - VI Plan F,FIFMPS6FG,LTFMPS6FG,14-Jan-13
L&T Fixed Maturity Plane Series - VI Plan E,FIFMPS6EG,LTFMPS6EG,14-Jan-13
L&T Fixed Maturiy Plan Series - VI Plan F,FIFMPS6ED,LTFMPS6ED,14-Jan-13
Dalmia Bharat Limited,DALMIABEL,DALMIABHA,09-Jan-13
Vaibhav Global Limited,VAIBHAVGEM,VAIBHAVGBL,24-Dec-12
Capital First Limited,FCH,CAPF,06-Dec-12
BS Limited,BSTRANSCOM,BSLIMITED,29-Nov-12
HIL Limited,HYDRBADIND,HIL,26-Oct-12
Siti Networks Limited,WWIL,SITICABLE,03-Oct-12
Zuari Global Limited,ZUARIAGRO,ZUARIGLOB,25-Sep-12
Prozone Intu Properties Limited,PROZONE,PROZONECSC,24-Sep-12
Piramal Enterprises Limited,PIRHEALTH,PEL,21-Sep-12
Tarmat Limited,ROMAN,TARMAT,12-Sep-12
Accelya Solutions India Limited,KALECONSUL,ACCELYA,06-Sep-12
Country Condo's Limited,NEOCURE,COUNCODOS,31-Aug-12
India Infoline Finance Limited,IIISL,IIFLFIN,27-Aug-12
Winsome Diamonds and Jewellery Limited,SURAJDIAMN,WINSOMEDJ,24-Jul-12
GE Power India Limited,APIL,AIL,11-Jul-12
Sanofi India Limited,AVENTIS,SANOFI,11-Jul-12
Swelect Energy Systems Limited,NUMERICPW,SWELECTES,09-Jul-12
Pearl Global Industries Limited,HOPFL,PGIL,02-Jul-12
Xchanging Solutions Limited,CAMBRIDGE,XCHANGING,25-Jun-12
INEOS Styrolution India Limited,INEABS,STYABS,20-Jun-12
Dewan Housing Finance Corporation Limited,DEWANHOUS,DHFL,22-May-12
Orient Bell Limited,ORIENTCERA,ORIENTBELL,17-Apr-12
Metkore Alloys & Industries Limited,CRONIMET,METKORE,02-Apr-12
Texmaco Infrastructure & Holdings Limited,TEXMACOLTD,TEXINFRA,20-Mar-12
GE T&D India Limited,AREVAT&D,ALSTOMT&D,12-Mar-12
Future Market Networks Limited,AGRE,FMNL,06-Mar-12
V2 Retail Limited,VISHALRET,V2RETAIL,24-Feb-12
Kokuyo Camlin Limited,CAMLIN,KOKUYOCMLN,14-Feb-12
Adani Ports and Special Economic Zone Limited,MUNDRAPORT,ADANIPORTS,17-Jan-12
Mercator Limited,MLL,MERCATOR,08-Dec-11
Hinduja Global Solutions Limited,HGSL,HGS,30-Nov-11
Career Point Limited,CPIL,CAREERP,16-Nov-11
Hubtown Limited,ACKRUTI,HUBTOWN,15-Nov-11
Stel Holdings Limited,SENTINEL,STEL,08-Nov-11
Reliance Naval and Engineering Limited,PIPAVAVYD,PIPAVAVDOC,29-Sep-11
CORE Education & Technologies Limited,COREPROTEC,COREEDUTEC,07-Sep-11
ZF Commercial Vehicle Control Systems India Limited,WABCO-TVS,WABCOINDIA,06-Sep-11
GSS Infotech Limited,GSSAMERICA,GSS,24-Aug-11
Eon Electric Limited,INDOASIFU,EONELECT,18-Aug-11
JSW ISPAT Steel Limited,ISPATIND,JSWISPAT,16-Aug-11
Hero MotoCorp Limited,HEROHONDA,HEROMOTOCO,08-Aug-11
DiGiSPICE Technologies Limited,SPICEMOBIL,SMOBILITY,26-Jul-11
TV18 Broadcast Limited,IBN18,TV18BRDCST,19-Jul-11
Infosys Limited,INFOSYSTCH,INFY,29-Jun-11
Nahar Poly Films Limited,NAHARINVST,NAHARPOLY,15-Jun-11
Next Mediaworks Limited,MID-DAY,NEXTMEDIA,15-Jun-11
Global Offshore Services Limited,GARWOFFS,GLOBOFFS,07-Jun-11
Trident Limited,ABSHEKINDS,TRIDENT,03-May-11
VTX Industries Limited,VIJAYTEX,VTXIND,04-Apr-11
Kiri Industries Limited,KIRIDYES,KIRIINDUS,28-Mar-11
Maan Aluminium Limited,MANALU,MAANALU,16-Mar-11
NCC Limited,NAGARCONST,NCC,15-Mar-11
KSS Limited,KSERAPRO,KSERASERA,07-Mar-11
Alicon Castalloy Limited,ENKEI,ALICON,04-Mar-11
Net 4 India Limited,NET4INDIA,NET4,28-Feb-11
IL&FS Engineering and Construction Company Limited,MAYTASINFR,IL&FSENGG,08-Feb-11
Shasun Pharmaceuticals Limited,SHASUNCHEM,SHASUNPHAR,28-Jan-11
SML Isuzu Limited,SWARAJMAZD,SMLISUZU,17-Jan-11
Welspun Enterprises Limited,MSKPROJ,WELPROJ,04-Jan-11
VA Tech Wabag Limited,VATECH,WABAG,15-Dec-10
XL Energy Limited,XLTELENE,XLENERGY,13-Dec-10
Oberoi Realty Limited,OBEROIREAL,OBEROIRLTY,10-Dec-10
Parrys Sugar Industries Limited,GMRINDS,PARRYSUGAR,02-Dec-10
Cura Technologies Limited,SOFTPRO,CURATECH,23-Nov-10
Dalmia Bharat Sugar and Industries Limited,DALMIACEM,DALMIASUG,30-Sep-10
Bajaj Finance Limited,BAJAUTOFIN,BAJFINANCE,29-Sep-10
Reliance Broadcast Network Limited,RMEDIA,RBN,20-Aug-10
Coral Hub Limited,VITLINFO,CORALHUB,26-Jul-10
Dhunseri Ventures Limited,DTIL,DPTL,26-Jul-10
SREI Infrastructure Finance Limited,SREINTFIN,SREINFRA,21-Jul-10
TATA CONSUMER PRODUCTS LIMITED,TATATEA,TATAGLOBAL,21-Jul-10
Sezal Glass Limited,SEJALGLASS,SEZALGLASS,14-Jul-10
Cholamandalam Investment and Finance Company Limited,CHOLADBS,CHOLAFIN,22-Jun-10
ANG Industries Limited,ANGAUTO,ANGIND,16-Jun-10
Black Box Limited,AVAYAGCL,AGCNET,08-Jun-10
Metkore Alloys & Industries Limited,GMRFER,CRONIMET,02-Jun-10
Akzo Nobel India Limited,ICI,AKZOINDIA,27-May-10
Welspun Corp Limited,WELGUJ,WELCORP,17-May-10
Ansal Properties & Infrastructure Limited,ANSALINFRA,ANSALAPI,14-May-10
SPML Infra Limited,SUBHASPROJ,SPMLINFRA,14-May-10
IL&FS Transportation Networks Limited,ILFSTRANS,IL&FSTRANS,16-Apr-10
IVRCL Assets & Holdings Limited,IVRPRIME,IVRCLAH,13-Apr-10
Zandu Realty Limited,ZANDUPHARM,ZANDUREALT,10-Mar-10
Kirloskar Electric Company Limited,KIRELECTRI,KECL,09-Mar-10
GeeCee Ventures Limited,GWALCHEM,GEECEE,05-Mar-10
Surana Telecom and Power Limited,SURANATELE,SURANAT&P,08-Feb-10
Jaiprakash Power Ventures Limited,JPHYDRO,JPPOWER,08-Jan-10
Usha Martin Education & Solutions Limited,UMITL,UMESL,07-Jan-10
GSL Nova Petrochemicals Limited,NOVA,GSLNOVA,18-Dec-09
Oriental Trimex Limited,OTL,ORIENTALTL,17-Dec-09
Ausom Enterprise Limited,COREEMBLG,AUSOMENT,01-Dec-09
SORIL Infra Resources Limited,IBRETAILS,STOREONE,26-Oct-09
Reliance MediaWorks Limited,ADLABSFILM,RELMEDIA,20-Oct-09
Coromandel International Limited,COROMNFERT,COROMANDEL,12-Oct-09
MPS Limited,MACMILLAN,MPSLTD,11-Sep-09
Aditya Birla Money Limited,APOLLOSIND,BIRLAMONEY,09-Sep-09
HSBC InvestDirect (India) Limited,INVSTSMART,HINVDIR,07-Sep-09
Savita Oil Technologies Limited,SAVITACHEM,SOTL,24-Aug-09
Smartlink Holdings Limited,D-LINK,SMARTLINK,29-Jul-09
XL Energy Limited,XLTL,XLTELENE,22-Jul-09
Hubtown Limited,AKRUTI,ACKRUTI,30-Jun-09
Ajmera Realty & Infra India Limited,SHREE,AJMERA,23-Jun-09
Geojit Financial Services Limited,GEOJIT,GEOJITBNPP,05-Jun-09
HeidelbergCement India Limited,MYSORECEM,HEIDELBERG,15-May-09
Insecticides (India) Limited,IILTD,INSECTICID,11-May-09
HSIL Limited,HINDSANIT,HSIL,27-Apr-09
Datamatics Global Services Limited,DATATECH,DATAMATICS,20-Apr-09
Solar Industries India Limited,SOLAREX,SOLARINDS,13-Apr-09
Aditya Birla Chemicals (India) Limited,BCCL,ABCIL,09-Mar-09
Phoenix Lamps Limited,PHOENIXLMP,HALONIX,09-Mar-09
Noesis Industries Limited,MEDIA,MVLIND,20-Feb-09
Fresenius Kabi Oncology Limited,DABURPHARM,FKONCO,19-Feb-09
Hinduja Global Solutions Limited,HTMTGLOBAL,HGSL,23-Jan-09
Elgi Rubber Company Limited,ELGITYRE,ELGIRUBBER,22-Dec-08
Delta Manufacturing Limited,GPELECT,DELTAMAGNT,15-Dec-08
Delta Corp Limited,ARROWGROUP,DELTACORP,11-Dec-08
Karuturi Global Limited,KNL,KGL,20-Nov-08
Jindal Stainless Limited,JSTAINLESS,JSL,23-Oct-08
Kalyani Steels Limited,KALYANISTL,KALSTEELS,21-Oct-08
Indbank Merchant Banking Services Limited,INDBANKMER,INDBANK,08-Oct-08
Geodesic Limited,GEOINFO,GEODESIC,06-Oct-08
Kingfisher Airlines Limited,AIRDECCAN,KFA,06-Oct-08
Golden Tobacco Limited,GTCIND,GOLDENTOBC,29-Sep-08
Oracle Financial Services Software Limited,I-FLEX,OFSS,18-Sep-08
Birla Corporation Limited,BIRLAJUTE,BIRLACORPN,28-Jul-08
